genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature
brutal death metal,0.282,0.995,7,-5.941,1,0.0909,2.6e-05,0.942,0.338,0.0396,157.096,7kJl69FuOnyqUzbAeG5Z0p,114947,4
brutal death metal,0.366,0.94,1,-8.244,1,0.116,2.01e-06,0.815,0.114,0.142,130.224,5y25DV4hGYUizcnAH1kFgM,274800,4
brutal death metal,0.253,0.995,6,-9.033,0,0.104,2.62e-06,0.895,0.113,0.131,135.222,1sacFzHdhDc64kzBwD3z5m,167693,4
belgian death metal,0.27,0.969,11,-4.801,1,0.205,4.76e-06,0.434,0.0712,0.16,139.275,4sEDY5mo2Zdq9Dz8s0LE6x,348427,4
colombian death metal,0.442,0.968,9,-6.465,1,0.074,0.000337,0.896,0.134,0.496,113.333,2KEaRluMMkDojizuZCfr64,318947,4
australian metal,0.0941,0.844,1,-9.55,1,0.0807,9.37e-06,0.928,0.106,0.155,162.618,2jlnSc2yOYN7HVc9Q9uL2M,313682,4
death metal,0.252,0.908,4,-9.282,1,0.0977,4.19e-05,0.435,0.0876,0.0981,139.929,7Ixhmu5cZFE9wpifxVWoqC,532605,1
australian metal,0.201,0.996,10,-5.351,1,0.159,1.77e-06,0.3,0.266,0.0651,108.424,5sD3j721OW2zLYi7NSWzIa,207280,4
dutch death metal,0.284,0.99,1,-3.833,1,0.22,0.00123,0.000694,0.287,0.0494,123.822,75lCesvHDPHdF4kEdTDlft,169987,4
british death metal,0.371,0.828,10,-6.536,0,0.0763,7.7e-05,0.559,0.0947,0.508,115.76,0jJH8QONmQd1L8bv4dejGZ,259587,4
brutal death metal,0.51,0.988,6,-4.151,1,0.128,3.15e-05,0.758,0.355,0.18,140.033,0zaoWmsdB5KOk66yrQl6BF,205603,4
brutal death metal,0.24,0.596,7,-16.03,1,0.0511,9.38e-05,0.805,0.216,0.331,117.602,4YQ3OHjzcUDWZFVaVffZDt,225747,4
unknown,0.333,0.801,6,-12.334,1,0.0896,0.00106,0.775,0.335,0.213,120.539,3xyemiOuwVwqWvFEugjPcn,245995,4
finnish death metal,0.523,0.958,10,-5.593,0,0.0578,1.02e-05,0.754,0.339,0.3,109.992,46xrzJkwWM6s8tb3nVU4mQ,255771,4
black thrash,0.285,0.989,6,-3.3,0,0.132,2.53e-05,0.0498,0.365,0.0974,116.141,4IPEqUgslMB8nfEFdY5Lpm,217480,3
gothenburg metal,0.463,0.94,10,-7.285,0,0.102,6.84e-05,0.635,0.384,0.32,106.34,47ktiBKtsMTcALTGIj8wb0,279160,4
alternative metal,0.508,0.955,7,-4.307,1,0.0669,0.000238,0.000833,0.0546,0.592,164.855,0SC1k8AXPSobh2SSOzWh7Y,176773,4
german death metal,0.386,0.993,6,-9.569,1,0.103,3.03e-06,0.82,0.204,0.0355,130.054,4KH9Oj1S8S5DiIHnLFoHoA,210231,3
alternative metal,0.221,0.985,8,-7.453,1,0.133,2.97e-05,0.156,0.13,0.152,161.21,31K3l0mjd8M65pspcl3OBR,234493,4
brutal death metal,0.287,0.936,9,-6.737,1,0.13,3.94e-05,0.881,0.329,0.44,133.109,5FiyjpRMdEW75m3RzmCDAY,353880,4
brutal death metal,0.226,0.985,1,-6.621,1,0.38,0.000216,0.000326,0.0629,0.0394,84.944,3KMgeiH25NeQeRNMz4SHq8,398160,4
slam death metal,0.432,0.937,6,-4.134,1,0.0618,3.12e-06,0.815,0.803,0.311,130.008,1BUGUb0U1y5a5yDTWU3l67,188840,4
brutal death metal,0.268,0.993,10,-4.048,0,0.0874,0.000945,0.873,0.0937,0.111,97.991,3ztZNULykf6ijrqJRcfZAJ,188293,4
brutal death metal,0.223,0.922,5,-12.531,1,0.0654,4.42e-05,0.84,0.0989,0.237,98.163,6l3rdVHGRqZepJc0DIjcF3,241857,4
