danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0.755,0.687,8,-6.247,0,0.101,0.183,0.000177,0.125,0.381,123.01,265360,4
0.522,0.641,8,-6.287,1,0.0318,0.0545,0.0,0.162,0.202,87.51,244685,4
0.909,0.762,9,-3.974,1,0.0643,0.434,0.0,0.0856,0.843,101.987,142335,3
0.644,0.735,8,-5.747,1,0.0391,0.0521,0.144,0.161,0.418,88.98,153947,4
0.787,0.621,4,-5.009,0,0.068,0.15,0.000402,0.58,0.13,139.056,267194,4
0.673,0.722,3,-3.495,0,0.0755,0.0856,0.0,0.137,0.519,117.187,200256,4
0.464,0.417,0,-9.345,0,0.0256,0.136,0.022,0.0974,0.479,67.528,183956,4
0.628,0.523,11,-8.307,0,0.0946,0.701,0.00274,0.219,0.416,169.982,172965,4
0.534,0.904,9,-3.315,1,0.0369,0.129,0.0,0.128,0.96,202.899,220160,4
0.808,0.944,10,-4.863,0,0.0408,0.183,1.11e-06,0.138,0.937,124.934,191467,3
0.815,0.741,1,-6.04,1,0.0569,0.0277,0.0183,0.219,0.591,125.031,143327,4
0.657,0.56,6,-9.049,0,0.0467,0.498,0.0,0.0794,0.854,161.993,182947,4
0.711,0.809,2,-4.389,0,0.0955,0.0447,0.0,0.339,0.816,106.017,206020,4
0.529,0.772,2,-7.013,1,0.0287,0.403,2.21e-06,0.316,0.853,91.751,181267,4
0.841,0.738,7,-7.455,0,0.307,0.52,0.0,0.0892,0.484,169.918,172798,4
0.911,0.778,5,-2.248,1,0.262,0.0887,2.16e-05,0.179,0.345,96.057,162768,4
0.864,0.556,2,-7.683,0,0.194,0.255,3.85e-06,0.112,0.726,99.974,230480,4
0.513,0.831,2,-9.004,1,0.0383,0.55,0.0,0.336,0.963,148.837,182067,4
0.79,0.831,11,-4.185,1,0.044,0.312,0.0,0.0797,0.872,124.987,183551,4
0.647,0.465,7,-8.308,1,0.0428,0.865,0.0,0.0882,0.699,151.251,119787,4
0.509,0.812,8,-5.439,1,0.0537,0.00128,1.99e-05,0.214,0.689,159.878,229640,4
0.747,0.391,0,-13.767,1,0.052,0.529,0.003,0.111,0.195,102.984,277832,4
0.716,0.512,1,-6.257,1,0.0331,0.483,0.0,0.0928,0.326,104.957,165907,3
0.552,0.702,9,-5.707,1,0.157,0.117,2.06e-05,0.105,0.564,169.994,178427,4
0.234,0.526,2,-11.656,1,0.0411,0.871,2.34e-06,0.122,0.649,201.739,151000,3
0.451,0.24,1,-14.014,1,0.0351,0.912,2.45e-06,0.175,0.701,134.009,117147,4
0.75,0.733,6,-3.18,0,0.0319,0.256,0.0,0.114,0.844,111.018,131872,1
0.331,0.223,4,-11.274,1,0.0338,0.88,5.92e-06,0.343,0.355,92.896,207200,3
0.525,0.621,7,-7.364,1,0.116,0.0489,0.0,0.294,0.591,191.9,204093,4
0.754,0.424,2,-8.463,1,0.0363,0.643,0.0,0.0652,0.806,119.705,130973,4
0.589,0.472,8,-8.749,1,0.0502,0.614,0.0,0.505,0.898,67.196,126267,4
0.733,0.598,2,-8.228,1,0.0278,0.212,3.71e-06,0.156,0.935,107.732,265960,4
0.336,0.627,7,-7.463,1,0.0384,0.164,0.0,0.0708,0.35,150.273,241107,4
0.545,0.545,9,-7.362,1,0.107,0.667,5.48e-05,0.417,0.549,159.94,184516,3
